text,diagnostic_category,severity_level,urgency_level
Patient reports confused speech,Neurological,2,3
Patient reports nosebleed,Gastrointestinal,5,2
Patient reports blurry vision,Gastrointestinal,5,1
Patient reports headache and mild fever,Endocrinological,1,2
Patient reports panic attacks,Neurological,2,3
Patient reports rash on torso,Dermatological,1,1
Patient reports frequent migraines,Gastrointestinal,1,1
Patient reports swelling in ankles,Emergency,4,2
Patient reports insomnia,Rheumatologic,4,3
Patient reports high blood sugar,Endocrinological,4,1
Patient reports knee injury,Rheumatologic,1,3
Patient reports muscle cramps,Endocrinological,2,1
Patient reports memory loss,Respiratory,4,3
Patient reports swelling in ankles,Urology,4,2
Patient reports minor laceration on arm,Emergency,1,3
Patient reports seizure episode,Respiratory,4,3
Patient reports seizure episode,Endocrinological,1,2
Patient reports burn on hand,Dermatological,5,2
Patient reports blurry vision,Neurological,4,1
Patient reports high blood sugar,Psychiatric,5,1
Patient reports weight loss and fatigue,Respiratory,2,1
Patient reports weight loss and fatigue,Injury,5,1
Patient reports severe abdominal pain,Dermatological,3,2
Patient reports persistent cough,Gastrointestinal,3,3
Patient reports nausea and vomiting,ENT,2,1
Patient reports skin infection,Ophthalmology,1,3
Patient reports loss of consciousness,Endocrinological,2,2
Patient reports weight loss and fatigue,Gastrointestinal,2,2
Patient reports chest pain and shortness of breath,Emergency,1,2
Patient reports skin infection,Respiratory,4,2
Patient reports skin infection,Urology,4,3
Patient reports frequent migraines,Dermatological,3,3
Patient reports nausea and vomiting,Neurological,3,2
Patient reports muscle cramps,ENT,4,1
Patient reports high blood sugar,Urology,5,3
Patient reports loss of consciousness,Endocrinological,1,3
Patient reports irregular heartbeat,Urology,5,2
Patient reports loss of consciousness,Urology,1,3
Patient reports rash on torso,Rheumatologic,1,1
Patient reports panic attacks,Emergency,4,3
Patient reports rash on torso,ENT,4,3
Patient reports sudden vision loss,Dermatological,2,2
Patient reports blurry vision,Endocrinological,5,1
Patient reports dizziness upon standing,Respiratory,3,1
Patient reports loss of consciousness,ENT,1,1
Patient reports irregular heartbeat,Ophthalmology,1,3
Patient reports rash on torso,Rheumatologic,2,1
Patient reports heart palpitations,Gastrointestinal,1,2
Patient reports nosebleed,Ophthalmology,2,2
Patient reports earache and discharge,Endocrinological,3,1
Patient reports nosebleed,Psychiatric,4,3
Patient reports seizure episode,Dermatological,5,3
Patient reports irregular heartbeat,Injury,4,3
Patient reports sudden vision loss,Respiratory,2,3
Patient reports severe abdominal pain,Endocrinological,3,1
Patient reports sudden vision loss,Gastrointestinal,1,3
Patient reports knee injury,Psychiatric,4,3
Patient reports burn on hand,Dermatological,1,2
Patient reports severe abdominal pain,Neurological,2,2
Patient reports heart palpitations,Emergency,1,1
Patient reports confused speech,Injury,4,3
Patient reports irregular heartbeat,Psychiatric,4,3
Patient reports burn on hand,Neurological,5,3
Patient reports seizure episode,Rheumatologic,5,3
Patient reports high blood sugar,Ophthalmology,5,3
Patient reports weight loss and fatigue,Psychiatric,2,2
Patient reports insomnia,Endocrinological,3,2
Patient reports chest pain and shortness of breath,Neurological,4,2
Patient reports burn on hand,Neurological,3,3
Patient reports minor laceration on arm,Neurological,3,3
Patient reports sudden vision loss,Dermatological,5,1
Patient reports blood in stool,Respiratory,1,2
Patient reports blood in stool,Urology,4,3
Patient reports swelling in ankles,ENT,2,1
Patient reports headache and mild fever,Respiratory,1,1
Patient reports weight loss and fatigue,Cardiovascular,2,1
Patient reports rash on torso,Psychiatric,5,1
Patient reports blurry vision,ENT,5,3
Patient reports high blood sugar,Respiratory,5,3
Patient reports seizure episode,Respiratory,5,3
Patient reports urinary frequency and burning,Urology,3,3
Patient reports skin infection,Ophthalmology,2,2
Patient reports weight loss and fatigue,Cardiovascular,5,2
Patient reports persistent cough,Urology,1,2
Patient reports insomnia,Emergency,2,1
Patient reports rash on torso,Psychiatric,4,3
Patient reports memory loss,Cardiovascular,2,3
Patient reports persistent cough,ENT,3,3
Patient reports muscle cramps,Emergency,2,1
Patient reports muscle cramps,Endocrinological,2,2
Patient reports loss of consciousness,Emergency,4,3
Patient reports knee injury,Psychiatric,4,2
Patient reports high blood sugar,Ophthalmology,4,3
Patient reports persistent cough,Endocrinological,5,3
Patient reports back pain,Ophthalmology,5,3
Patient reports memory loss,Ophthalmology,2,3
Patient reports dizziness upon standing,Ophthalmology,2,1
Patient reports blurry vision,Dermatological,2,2
Patient reports minor laceration on arm,Injury,3,2
Patient reports seizure episode,Psychiatric,4,2
Patient reports back pain,Neurological,1,3
Patient reports nausea and vomiting,Rheumatologic,3,1
Patient reports severe abdominal pain,Psychiatric,1,2
Patient reports panic attacks,Endocrinological,5,1
Patient reports weight loss and fatigue,Endocrinological,2,3
Patient reports loss of consciousness,ENT,2,2
Patient reports earache and discharge,Emergency,1,1
Patient reports chest pain and shortness of breath,Psychiatric,5,1
Patient reports minor laceration on arm,Urology,4,3
Patient reports allergic reaction,Injury,3,3
Patient reports frequent migraines,Respiratory,1,1
Patient reports swelling in ankles,Cardiovascular,2,3
Patient reports headache and mild fever,ENT,3,2
Patient reports sudden vision loss,Endocrinological,1,3
Patient reports heart palpitations,Gastrointestinal,5,2
Patient reports insomnia,Urology,1,3
Patient reports joint pain in knees,Respiratory,2,1
Patient reports sudden vision loss,Ophthalmology,4,3
Patient reports nausea and vomiting,Dermatological,2,1
Patient reports nosebleed,Dermatological,2,1
Patient reports frequent migraines,Cardiovascular,3,1
Patient reports chest pain and shortness of breath,ENT,1,3
Patient reports sudden vision loss,Endocrinological,2,2
Patient reports loss of consciousness,Endocrinological,2,3
Patient reports insomnia,ENT,5,1
Patient reports allergic reaction,Rheumatologic,3,2
Patient reports nosebleed,Dermatological,2,3
Patient reports panic attacks,Emergency,5,2
Patient reports shallow breathing,Gastrointestinal,5,1
Patient reports blood in stool,Emergency,2,2
Patient reports memory loss,ENT,1,1
Patient reports dizziness upon standing,Endocrinological,3,3
Patient reports irregular heartbeat,Respiratory,5,1
Patient reports urinary frequency and burning,Ophthalmology,2,3
Patient reports knee injury,Injury,2,1
Patient reports skin infection,Urology,1,3
Patient reports weight loss and fatigue,Ophthalmology,1,2
Patient reports shallow breathing,Endocrinological,2,1
Patient reports insomnia,Gastrointestinal,2,1
Patient reports back pain,Endocrinological,1,2
Patient reports irregular heartbeat,Rheumatologic,2,3
Patient reports severe abdominal pain,Gastrointestinal,5,3
Patient reports blurry vision,Gastrointestinal,3,2
Patient reports skin infection,Respiratory,3,3
Patient reports minor laceration on arm,Urology,3,2
Patient reports weight loss and fatigue,Injury,3,2
Patient reports earache and discharge,Rheumatologic,3,3
Patient reports allergic reaction,Gastrointestinal,5,1
Patient reports loss of consciousness,Emergency,3,2
Patient reports heart palpitations,Neurological,1,1
Patient reports joint pain in knees,Rheumatologic,3,2
Patient reports loss of consciousness,Urology,4,1
Patient reports sudden vision loss,Neurological,3,2
Patient reports earache and discharge,Ophthalmology,1,3
Patient reports nosebleed,Respiratory,5,3
Patient reports swelling in ankles,Rheumatologic,1,1
Patient reports blood in stool,Ophthalmology,2,1
Patient reports swelling in ankles,Dermatological,1,2
Patient reports swelling in ankles,Gastrointestinal,2,3
Patient reports nosebleed,Neurological,3,2
Patient reports headache and mild fever,ENT,1,2
Patient reports insomnia,Gastrointestinal,4,1
Patient reports frequent migraines,Urology,3,3
Patient reports earache and discharge,Emergency,5,2
Patient reports frequent migraines,Psychiatric,3,3
Patient reports allergic reaction,ENT,1,3
Patient reports heart palpitations,Emergency,4,2
Patient reports persistent cough,ENT,4,3
Patient reports joint pain in knees,Gastrointestinal,3,2
Patient reports insomnia,ENT,1,3
Patient reports frequent migraines,Respiratory,4,3
Patient reports loss of consciousness,Ophthalmology,4,1
Patient reports panic attacks,Rheumatologic,3,3
Patient reports seizure episode,Emergency,5,3
Patient reports urinary frequency and burning,Respiratory,4,1
Patient reports panic attacks,Emergency,5,2
Patient reports seizure episode,Endocrinological,2,1
Patient reports nausea and vomiting,ENT,2,3
Patient reports panic attacks,Respiratory,2,3
Patient reports rash on torso,Endocrinological,1,2
Patient reports nosebleed,ENT,2,3
Patient reports persistent cough,Ophthalmology,5,2
Patient reports sudden vision loss,ENT,1,2
Patient reports confused speech,Gastrointestinal,4,1
Patient reports earache and discharge,Neurological,5,1
Patient reports joint pain in knees,Endocrinological,3,3
Patient reports irregular heartbeat,Endocrinological,4,2
Patient reports severe abdominal pain,Respiratory,2,2
Patient reports joint pain in knees,Dermatological,5,1
Patient reports dizziness upon standing,Cardiovascular,1,3
Patient reports panic attacks,Respiratory,3,3
Patient reports irregular heartbeat,Neurological,5,3
Patient reports irregular heartbeat,Dermatological,2,2
Patient reports allergic reaction,Emergency,2,2
Patient reports heart palpitations,Rheumatologic,1,1
Patient reports minor laceration on arm,Neurological,5,1
Patient reports weight loss and fatigue,Injury,1,2
Patient reports sudden vision loss,Urology,5,2
Patient reports minor laceration on arm,Neurological,1,3
Patient reports blurry vision,Rheumatologic,3,1
Patient reports joint pain in knees,Gastrointestinal,1,1
Patient reports weight loss and fatigue,Psychiatric,1,3
Patient reports swelling in ankles,Gastrointestinal,4,3
Patient reports nosebleed,Emergency,4,3
Patient reports loss of consciousness,Injury,5,3
Patient reports minor laceration on arm,Psychiatric,5,2
Patient reports earache and discharge,ENT,3,3
Patient reports high blood sugar,Gastrointestinal,3,3
Patient reports muscle cramps,Respiratory,4,2
Patient reports seizure episode,ENT,5,1
Patient reports urinary frequency and burning,Gastrointestinal,1,3
Patient reports dizziness upon standing,ENT,2,2
Patient reports urinary frequency and burning,Ophthalmology,2,2
Patient reports skin infection,Endocrinological,5,1
Patient reports urinary frequency and burning,Emergency,1,3
Patient reports dizziness upon standing,Dermatological,3,1
Patient reports chest pain and shortness of breath,Injury,5,1
Patient reports irregular heartbeat,Urology,4,2
Patient reports dizziness upon standing,Respiratory,3,3
Patient reports severe abdominal pain,Endocrinological,4,2
Patient reports nausea and vomiting,Gastrointestinal,3,2
Patient reports dizziness upon standing,Ophthalmology,4,2
Patient reports shallow breathing,Rheumatologic,1,2
Patient reports weight loss and fatigue,Psychiatric,5,2
Patient reports nosebleed,Psychiatric,4,3
Patient reports frequent migraines,Ophthalmology,4,2
Patient reports loss of consciousness,Rheumatologic,5,2
Patient reports burn on hand,Gastrointestinal,1,1
Patient reports knee injury,Gastrointestinal,5,2
Patient reports seizure episode,Respiratory,4,2
Patient reports frequent migraines,Cardiovascular,5,1
Patient reports loss of consciousness,Gastrointestinal,4,2
Patient reports high blood sugar,Endocrinological,3,3
Patient reports seizure episode,Cardiovascular,2,2
Patient reports headache and mild fever,Respiratory,1,2
Patient reports shallow breathing,Endocrinological,1,2
Patient reports seizure episode,Endocrinological,5,3
Patient reports shallow breathing,Respiratory,3,2
Patient reports severe abdominal pain,ENT,5,2
Patient reports nosebleed,Psychiatric,2,3
Patient reports sudden vision loss,Dermatological,1,2
Patient reports loss of consciousness,Cardiovascular,4,1
Patient reports nausea and vomiting,Respiratory,5,2
Patient reports weight loss and fatigue,Dermatological,4,1
Patient reports confused speech,Emergency,2,3
Patient reports weight loss and fatigue,Cardiovascular,5,2
Patient reports skin infection,Psychiatric,3,3
Patient reports allergic reaction,Urology,3,1
Patient reports memory loss,Rheumatologic,2,1
Patient reports muscle cramps,Psychiatric,3,3
Patient reports minor laceration on arm,Endocrinological,4,2
Patient reports muscle cramps,Respiratory,3,1
Patient reports blurry vision,Urology,5,1
Patient reports seizure episode,Psychiatric,2,1
Patient reports knee injury,Neurological,4,1
Patient reports nosebleed,Injury,2,1
Patient reports blurry vision,Respiratory,3,3
Patient reports heart palpitations,Gastrointestinal,3,2
Patient reports persistent cough,Emergency,1,2
Patient reports confused speech,ENT,5,2
Patient reports memory loss,Endocrinological,4,3
Patient reports insomnia,Ophthalmology,2,2
Patient reports sudden vision loss,Emergency,3,1
Patient reports frequent migraines,Ophthalmology,3,1
Patient reports confused speech,Psychiatric,4,1
Patient reports confused speech,Psychiatric,5,1
Patient reports shallow breathing,Endocrinological,3,2
Patient reports dizziness upon standing,Psychiatric,3,1
Patient reports loss of consciousness,ENT,4,1
Patient reports blood in stool,Neurological,2,2
Patient reports memory loss,Neurological,4,3
Patient reports swelling in ankles,Psychiatric,2,2
Patient reports blurry vision,Rheumatologic,3,3
Patient reports blurry vision,Neurological,5,2
Patient reports burn on hand,Dermatological,1,2
Patient reports panic attacks,Urology,3,3
Patient reports memory loss,Rheumatologic,1,2
Patient reports frequent migraines,Urology,1,3
Patient reports loss of consciousness,Cardiovascular,4,1
Patient reports confused speech,Injury,5,2
Patient reports irregular heartbeat,Endocrinological,1,1
Patient reports nausea and vomiting,Emergency,3,3
Patient reports earache and discharge,Rheumatologic,1,3
Patient reports minor laceration on arm,Urology,1,2
Patient reports weight loss and fatigue,Rheumatologic,2,2
Patient reports rash on torso,Neurological,1,1
Patient reports earache and discharge,Dermatological,4,3
Patient reports swelling in ankles,Respiratory,1,3
Patient reports muscle cramps,ENT,5,3
Patient reports minor laceration on arm,ENT,2,3
Patient reports allergic reaction,Neurological,4,2
Patient reports minor laceration on arm,Psychiatric,1,1
Patient reports irregular heartbeat,Neurological,3,3
Patient reports confused speech,Rheumatologic,4,3
Patient reports earache and discharge,Urology,3,3
Patient reports heart palpitations,Psychiatric,4,2
Patient reports memory loss,Neurological,5,1
Patient reports earache and discharge,Emergency,1,3
Patient reports muscle cramps,ENT,2,2
Patient reports high blood sugar,Injury,1,2
Patient reports irregular heartbeat,Psychiatric,1,3
Patient reports irregular heartbeat,Endocrinological,4,2
Patient reports persistent cough,Injury,4,3
Patient reports irregular heartbeat,Psychiatric,5,2
Patient reports weight loss and fatigue,Neurological,4,3
Patient reports swelling in ankles,Endocrinological,5,2
Patient reports swelling in ankles,Emergency,2,1
Patient reports insomnia,Neurological,2,3
Patient reports heart palpitations,Endocrinological,3,1
Patient reports irregular heartbeat,Ophthalmology,1,1
Patient reports rash on torso,Injury,3,3
Patient reports burn on hand,ENT,2,3
Patient reports swelling in ankles,Dermatological,5,1
Patient reports severe abdominal pain,ENT,5,3
Patient reports insomnia,Dermatological,4,2
Patient reports back pain,Respiratory,2,2
Patient reports dizziness upon standing,Endocrinological,2,1
Patient reports insomnia,Injury,1,2
Patient reports memory loss,Cardiovascular,5,3
Patient reports minor laceration on arm,Urology,1,3
Patient reports heart palpitations,Injury,3,1
Patient reports irregular heartbeat,ENT,5,1
Patient reports nausea and vomiting,ENT,2,2
Patient reports blurry vision,Psychiatric,2,3
Patient reports confused speech,Urology,1,2
Patient reports shallow breathing,Urology,2,2
Patient reports shallow breathing,Psychiatric,1,1
Patient reports minor laceration on arm,Emergency,5,3
Patient reports loss of consciousness,Dermatological,3,1
Patient reports joint pain in knees,Respiratory,3,2
Patient reports confused speech,ENT,1,2
Patient reports swelling in ankles,Emergency,4,1
Patient reports blood in stool,Gastrointestinal,5,1
Patient reports headache and mild fever,Psychiatric,1,1
Patient reports knee injury,Neurological,1,3
Patient reports blurry vision,Rheumatologic,5,1
Patient reports back pain,Endocrinological,5,3
Patient reports loss of consciousness,Dermatological,1,1
Patient reports minor laceration on arm,Dermatological,4,3
Patient reports blood in stool,Gastrointestinal,5,3
Patient reports chest pain and shortness of breath,Emergency,3,3
Patient reports confused speech,Ophthalmology,4,3
Patient reports high blood sugar,Cardiovascular,4,2
Patient reports nosebleed,Urology,2,2
Patient reports weight loss and fatigue,Psychiatric,3,3
Patient reports back pain,Rheumatologic,5,2
Patient reports heart palpitations,Rheumatologic,1,2
Patient reports chest pain and shortness of breath,Cardiovascular,3,1
Patient reports high blood sugar,Injury,2,3
Patient reports headache and mild fever,Injury,1,2
Patient reports swelling in ankles,Injury,3,3
Patient reports knee injury,Endocrinological,4,2
Patient reports urinary frequency and burning,ENT,4,2
Patient reports persistent cough,Emergency,2,1
Patient reports headache and mild fever,Rheumatologic,1,3
Patient reports shallow breathing,Ophthalmology,2,1
Patient reports nausea and vomiting,Psychiatric,5,3
Patient reports insomnia,Gastrointestinal,5,1
Patient reports nausea and vomiting,Injury,3,2
Patient reports minor laceration on arm,Rheumatologic,3,2
Patient reports allergic reaction,Respiratory,3,1
Patient reports panic attacks,Psychiatric,3,3
Patient reports skin infection,Dermatological,1,2
Patient reports swelling in ankles,Dermatological,5,3
Patient reports dizziness upon standing,Psychiatric,2,3
Patient reports seizure episode,Cardiovascular,3,3
Patient reports persistent cough,Neurological,1,3
Patient reports joint pain in knees,Rheumatologic,4,1
Patient reports minor laceration on arm,Gastrointestinal,5,3
Patient reports nausea and vomiting,Respiratory,2,2
Patient reports heart palpitations,Psychiatric,1,2
Patient reports joint pain in knees,Emergency,4,2
Patient reports sudden vision loss,Injury,3,1
Patient reports back pain,Ophthalmology,5,1
Patient reports blurry vision,ENT,2,3
Patient reports back pain,Ophthalmology,5,3
Patient reports headache and mild fever,Urology,3,1
Patient reports rash on torso,Psychiatric,2,1
Patient reports back pain,Rheumatologic,3,1
Patient reports minor laceration on arm,Neurological,4,1
Patient reports shallow breathing,Emergency,3,2
Patient reports frequent migraines,Psychiatric,3,2
Patient reports severe abdominal pain,Neurological,3,2
Patient reports weight loss and fatigue,Emergency,1,3
Patient reports loss of consciousness,ENT,3,2
Patient reports irregular heartbeat,Endocrinological,2,1
Patient reports dizziness upon standing,ENT,1,2
Patient reports insomnia,Emergency,2,3
Patient reports panic attacks,Neurological,4,1
Patient reports swelling in ankles,Respiratory,1,3
Patient reports joint pain in knees,Gastrointestinal,3,1
Patient reports insomnia,Cardiovascular,4,3
Patient reports nausea and vomiting,Psychiatric,2,2
Patient reports nosebleed,Injury,4,2
Patient reports joint pain in knees,Psychiatric,3,3
Patient reports chest pain and shortness of breath,Dermatological,5,1
Patient reports burn on hand,Endocrinological,2,2
Patient reports severe abdominal pain,Ophthalmology,2,1
Patient reports joint pain in knees,Gastrointestinal,2,3
Patient reports confused speech,Respiratory,5,2
Patient reports headache and mild fever,Gastrointestinal,1,1
Patient reports swelling in ankles,Emergency,4,1
Patient reports allergic reaction,Urology,4,3
Patient reports panic attacks,Psychiatric,5,2
Patient reports joint pain in knees,ENT,4,3
Patient reports minor laceration on arm,Endocrinological,4,3
Patient reports seizure episode,Respiratory,4,2
Patient reports memory loss,Neurological,3,1
Patient reports rash on torso,Rheumatologic,2,1
Patient reports urinary frequency and burning,Emergency,3,2
Patient reports muscle cramps,Ophthalmology,1,1
Patient reports nausea and vomiting,Urology,1,1
Patient reports burn on hand,Ophthalmology,5,3
Patient reports blurry vision,Urology,2,2
Patient reports shallow breathing,Rheumatologic,3,3
Patient reports irregular heartbeat,Dermatological,3,1
Patient reports earache and discharge,Urology,5,3
Patient reports dizziness upon standing,ENT,2,2
Patient reports dizziness upon standing,Gastrointestinal,3,1
Patient reports earache and discharge,Emergency,3,2
Patient reports confused speech,Neurological,1,1
Patient reports burn on hand,Endocrinological,3,1
Patient reports blood in stool,Cardiovascular,4,2
Patient reports joint pain in knees,Dermatological,1,2
Patient reports confused speech,Neurological,1,1
Patient reports minor laceration on arm,Psychiatric,1,3
Patient reports headache and mild fever,Injury,4,2
Patient reports loss of consciousness,Urology,3,2
Patient reports back pain,Neurological,2,2
Patient reports memory loss,ENT,2,1
Patient reports confused speech,Rheumatologic,3,2
Patient reports nosebleed,Cardiovascular,4,1
Patient reports burn on hand,Cardiovascular,4,3
Patient reports sudden vision loss,Dermatological,4,3
Patient reports nausea and vomiting,Gastrointestinal,4,3
Patient reports burn on hand,Respiratory,5,2
Patient reports rash on torso,Rheumatologic,5,2
Patient reports irregular heartbeat,Emergency,1,3
Patient reports high blood sugar,Rheumatologic,3,1
Patient reports allergic reaction,Cardiovascular,4,1
Patient reports earache and discharge,Emergency,3,3
Patient reports nausea and vomiting,Psychiatric,2,2
Patient reports urinary frequency and burning,Psychiatric,3,3
Patient reports dizziness upon standing,Gastrointestinal,4,1
Patient reports sudden vision loss,Injury,5,2
Patient reports frequent migraines,Gastrointestinal,1,1
Patient reports nausea and vomiting,Urology,5,3
Patient reports blood in stool,Cardiovascular,5,3
Patient reports urinary frequency and burning,Urology,4,3
Patient reports skin infection,Dermatological,4,1
Patient reports severe abdominal pain,Respiratory,5,3
Patient reports loss of consciousness,Respiratory,1,3
Patient reports high blood sugar,Urology,3,1
Patient reports loss of consciousness,Neurological,1,1
Patient reports frequent migraines,Endocrinological,1,3
Patient reports nosebleed,Urology,5,3
Patient reports joint pain in knees,Respiratory,1,1
Patient reports urinary frequency and burning,Psychiatric,1,2
Patient reports heart palpitations,Dermatological,1,2
Patient reports insomnia,Ophthalmology,5,2
Patient reports skin infection,Urology,5,2
Patient reports minor laceration on arm,Ophthalmology,2,2
Patient reports confused speech,Gastrointestinal,5,2
Patient reports blood in stool,ENT,3,2
Patient reports nosebleed,Urology,4,1
Patient reports chest pain and shortness of breath,Dermatological,1,2
Patient reports weight loss and fatigue,Urology,1,3
Patient reports weight loss and fatigue,Neurological,5,3
Patient reports dizziness upon standing,Urology,5,2
Patient reports weight loss and fatigue,Neurological,2,2
Patient reports headache and mild fever,Respiratory,1,1
Patient reports weight loss and fatigue,Gastrointestinal,3,1
Patient reports skin infection,Dermatological,5,1
Patient reports nosebleed,Emergency,1,2
Patient reports weight loss and fatigue,Emergency,2,2
Patient reports confused speech,Psychiatric,1,2
Patient reports skin infection,ENT,4,1
Patient reports loss of consciousness,Endocrinological,4,1
Patient reports sudden vision loss,Endocrinological,5,1
Patient reports weight loss and fatigue,Rheumatologic,4,3
Patient reports memory loss,Endocrinological,1,3
Patient reports knee injury,Cardiovascular,2,1
Patient reports blood in stool,Gastrointestinal,2,1
Patient reports joint pain in knees,ENT,4,2
Patient reports heart palpitations,Respiratory,5,2
Patient reports memory loss,Injury,2,2
Patient reports headache and mild fever,Cardiovascular,3,1
Patient reports irregular heartbeat,Gastrointestinal,4,1
Patient reports weight loss and fatigue,Rheumatologic,1,3
Patient reports burn on hand,Ophthalmology,4,2
Patient reports sudden vision loss,Cardiovascular,5,1
Patient reports nosebleed,Psychiatric,2,1
Patient reports blood in stool,Urology,5,3
Patient reports burn on hand,ENT,1,1
Patient reports blood in stool,Dermatological,3,3
Patient reports rash on torso,Cardiovascular,3,1
Patient reports severe abdominal pain,Respiratory,4,3
Patient reports skin infection,Urology,5,3
Patient reports skin infection,Cardiovascular,5,3
Patient reports insomnia,Cardiovascular,3,1
Patient reports headache and mild fever,Emergency,1,2
Patient reports burn on hand,Emergency,5,2
Patient reports irregular heartbeat,Cardiovascular,3,1
Patient reports high blood sugar,Injury,4,3
Patient reports sudden vision loss,Gastrointestinal,5,3
Patient reports swelling in ankles,Urology,5,3
Patient reports weight loss and fatigue,Psychiatric,5,3
Patient reports skin infection,Endocrinological,1,1
Patient reports skin infection,Psychiatric,1,3
Patient reports panic attacks,Ophthalmology,5,2
Patient reports minor laceration on arm,Respiratory,5,1
Patient reports loss of consciousness,Neurological,4,1
Patient reports chest pain and shortness of breath,Rheumatologic,4,2
Patient reports chest pain and shortness of breath,Rheumatologic,1,1
Patient reports skin infection,Endocrinological,3,3
Patient reports chest pain and shortness of breath,Gastrointestinal,4,3
Patient reports frequent migraines,Respiratory,4,2
Patient reports skin infection,Cardiovascular,2,3
Patient reports minor laceration on arm,Emergency,2,1
Patient reports confused speech,Neurological,4,1
Patient reports earache and discharge,Urology,1,2
Patient reports rash on torso,Injury,1,1
Patient reports burn on hand,Neurological,5,3
Patient reports high blood sugar,Urology,5,1
Patient reports shallow breathing,Neurological,3,2
